id,type,timingData.startTimeInNanos,timingData.endTimeInNanos,timingData.responseTime,timingData.processingTime,timingData.selfTime,timingData.suspensionTime,timingData.cpuTime,timingData.waitTime,timingData.diskIOTime,timingData.networkIOTime,timingData.syncTime,timingData.totalExecutionTime,purePathsData.infoData.serviceId,purePathsData.infoData.serviceName,purePathsData.infoData.dimension,purePathsData.infoData.callURI,purePathsData.infoData.traceIdHex,purePathsData.infoData.callStartTime,purePathsData.infoData.multiplicity,purePathsData.infoData.failed,purePathsData.infoData.serviceType,purePathsData.infoData.technologyType,purePathsData.infoData.callFlawBits,purePathsData.infoData.anyFlaws,purePathsData.infoData.external,purePathsData.infoData.autoSensorDataExists,purePathsData.infoData.pgName,purePathsData.infoData.pgiName,purePathsData.infoData.pgiId,purePathsData.infoData.serverEntryPoint,purePathsData.timingData.startTimeInNanos,purePathsData.timingData.endTimeInNanos,purePathsData.timingData.responseTime,purePathsData.timingData.processingTime,purePathsData.timingData.selfTime,purePathsData.timingData.suspensionTime,purePathsData.timingData.cpuTime,purePathsData.timingData.waitTime,purePathsData.timingData.diskIOTime,purePathsData.timingData.networkIOTime,purePathsData.timingData.syncTime,purePathsData.databaseData.sqlFetchesPerExecution,purePathsData.databaseData.sqlRowsReturnedPerExecution,purePathsData.childCallsData.callsToDatabases,purePathsData.childCallsData.callsToServices,purePathsData.childCallsData.timeSpentInCallsToDatabases,purePathsData.childCallsData.timeSpentInCallsToServices,purePathsData.requestData.httpCode,purePathsData.requestData.httpCodeValid,purePathsData.requestAttributesData.requestAttributesCount,purePathsData.type,traceData
99192636Z1X111X0X233176765X20260602111522Y0Y0.session,PurePath,1780411094336044000,1780411094336071000,27,27,27,0,25,0,0,0,0,27,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,99192636Z1X111X0X233176765X20260602111522Y0Y0.session,bc46c1589c1c6465d4a9203f3b3fb8a3,1780411094336,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-446sq),PROCESS_GROUP_INSTANCE-CED887F3C8978DA2,true,1780411094336044000,1780411094336071000,27,27,27,0,25,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
21285192Z1X65X0X496732056X20260602105822Y0Y0.session,PurePath,1780411089836048000,1780411089836089000,41,41,41,0,38,0,0,0,0,41,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,21285192Z1X65X0X496732056X20260602105822Y0Y0.session,33f490e23f2704e3b1ce36ebcdd44652,1780411089836,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-mpmrk),PROCESS_GROUP_INSTANCE-0CEAA227E4D70B95,true,1780411089836048000,1780411089836089000,41,41,41,0,38,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
53020752Z1X87X0X330076288X20260602105221Y0Y0.session,PurePath,1780411089266064000,1780411089266510000,446,446,446,0,438,0,0,0,0,446,SERVICE-9F5C6A85E1BCD5C4,Requests executed in background threads of ws-server.jar brai-srv-empf-restbloq-* /brai-srv-empf-restbloq - corp,http://localhost:5778/,53020752Z1X87X0X330076288X20260602105221Y0Y0.session,451bc4791949e42f065d1eefad391904,1780411089266,1,true,Process,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-446sq),PROCESS_GROUP_INSTANCE-CED887F3C8978DA2,true,1780411089266064000,1780411089266510000,446,446,446,0,438,0,0,0,0,0,0,0,1,0,446,0,false,0,PurePath,,
26883531Z1X59X0X599265263X20260602111355Y0Y0.session,PurePath,1780411088077062000,1780411088077113000,51,51,51,0,42,0,0,0,0,51,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,26883531Z1X59X0X599265263X20260602111355Y0Y0.session,c1db0da726cf31dead12fc84e2b3c56d,1780411088077,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-r5c52),PROCESS_GROUP_INSTANCE-715A9E4EF292F76E,true,1780411088077062000,1780411088077113000,51,51,51,0,42,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
10667186Z1X31X0X224020228X20260602113207Y0Y0.session,PurePath,1780411082488055000,1780411082488103000,48,48,48,0,46,0,0,0,0,48,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,10667186Z1X31X0X224020228X20260602113207Y0Y0.session,4d62f49c66d65f9e3e45f09022c6aa40,1780411082488,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-84qvs),PROCESS_GROUP_INSTANCE-89B8C79D19ABBA8B,true,1780411082488055000,1780411082488103000,48,48,48,0,46,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
17274911Z1X59X0X402969374X20260602104343Y0Y0.session,PurePath,1780411082240039000,1780411082240074000,35,35,35,0,32,0,0,0,0,35,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,17274911Z1X59X0X402969374X20260602104343Y0Y0.session,384cc69b0dd804ad77142dabfdf104c8,1780411082240,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-xppg6),PROCESS_GROUP_INSTANCE-CC6F93DA5E71C4DC,true,1780411082240039000,1780411082240074000,35,35,35,0,32,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
28052894Z1X22X0X172961211X20260602113309Y0Y0.session,PurePath,1780411080219051000,1780411080219102000,51,51,51,0,49,0,0,0,0,51,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,28052894Z1X22X0X172961211X20260602113309Y0Y0.session,0e0fa7ce186c8dde358630d9b73ca73e,1780411080219,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-br7rr),PROCESS_GROUP_INSTANCE-CD32EF9D406465C6,true,1780411080219051000,1780411080219102000,51,51,51,0,49,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
11063074Z1X70X0X462895120X20260602105714Y0Y0.session,PurePath,1780411080163053000,1780411080163080000,27,27,27,0,26,0,0,0,0,27,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,11063074Z1X70X0X462895120X20260602105714Y0Y0.session,569dc0c8c173b775647ab96b00e73cac,1780411080163,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-59c5b55589-pv6gp),PROCESS_GROUP_INSTANCE-82FA300F76BBFA53,true,1780411080163053000,1780411080163080000,27,27,27,0,26,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
73761790Z1X88X0X427552284X20260602113508Y0Y0.session,PurePath,1780411078295054000,1780411078295810000,756,756,756,0,737,0,0,0,0,756,SERVICE-9F5C6A85E1BCD5C4,Requests executed in background threads of ws-server.jar brai-srv-empf-restbloq-* /brai-srv-empf-restbloq - corp,http://localhost:5778/,73761790Z1X88X0X427552284X20260602113508Y0Y0.session,8b4952fd6189cc3e289b6c78951f4a8a,1780411078295,1,true,Process,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-wmsq9),PROCESS_GROUP_INSTANCE-07F9E5EC76EDD8C4,true,1780411078295054000,1780411078295810000,756,756,756,0,737,0,0,0,0,0,0,0,1,0,756,0,false,0,PurePath,,
48065434Z1X70X0X388786112X20260602113122Y0Y0.session,PurePath,1780411076818046000,1780411076818100000,54,54,54,0,39,0,0,0,0,54,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,48065434Z1X70X0X388786112X20260602113122Y0Y0.session,3dfc43c363824e2bb9f3aab72ff5e633,1780411076818,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-rv2vv),PROCESS_GROUP_INSTANCE-62921E4DDD259931,true,1780411076818046000,1780411076818100000,54,54,54,0,39,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
