id,type,timingData.startTimeInNanos,timingData.endTimeInNanos,timingData.responseTime,timingData.processingTime,timingData.selfTime,timingData.suspensionTime,timingData.cpuTime,timingData.waitTime,timingData.diskIOTime,timingData.networkIOTime,timingData.syncTime,timingData.totalExecutionTime,purePathsData.infoData.serviceId,purePathsData.infoData.serviceName,purePathsData.infoData.dimension,purePathsData.infoData.callURI,purePathsData.infoData.traceIdHex,purePathsData.infoData.callStartTime,purePathsData.infoData.multiplicity,purePathsData.infoData.failed,purePathsData.infoData.serviceType,purePathsData.infoData.technologyType,purePathsData.infoData.callFlawBits,purePathsData.infoData.anyFlaws,purePathsData.infoData.external,purePathsData.infoData.autoSensorDataExists,purePathsData.infoData.pgName,purePathsData.infoData.pgiName,purePathsData.infoData.pgiId,purePathsData.infoData.serverEntryPoint,purePathsData.timingData.startTimeInNanos,purePathsData.timingData.endTimeInNanos,purePathsData.timingData.responseTime,purePathsData.timingData.processingTime,purePathsData.timingData.selfTime,purePathsData.timingData.suspensionTime,purePathsData.timingData.cpuTime,purePathsData.timingData.waitTime,purePathsData.timingData.diskIOTime,purePathsData.timingData.networkIOTime,purePathsData.timingData.syncTime,purePathsData.databaseData.sqlFetchesPerExecution,purePathsData.databaseData.sqlRowsReturnedPerExecution,purePathsData.childCallsData.callsToDatabases,purePathsData.childCallsData.callsToServices,purePathsData.childCallsData.timeSpentInCallsToDatabases,purePathsData.childCallsData.timeSpentInCallsToServices,purePathsData.requestData.httpRequestMethod,purePathsData.requestData.httpCode,purePathsData.requestData.httpCodeValid,purePathsData.requestData.hostName,purePathsData.requestData.relativeUrl,purePathsData.requestAttributesData.requestAttributesList.0.id,purePathsData.requestAttributesData.requestAttributesList.0.name,purePathsData.requestAttributesData.requestAttributesList.0.type,purePathsData.requestAttributesData.requestAttributesList.0.value,purePathsData.requestAttributesData.requestAttributesList.0.confidential,purePathsData.requestAttributesData.requestAttributesList.1.id,purePathsData.requestAttributesData.requestAttributesList.1.name,purePathsData.requestAttributesData.requestAttributesList.1.type,purePathsData.requestAttributesData.requestAttributesList.1.value,purePathsData.requestAttributesData.requestAttributesList.1.confidential,purePathsData.requestAttributesData.requestAttributesCount,purePathsData.type,traceData
18338878Z1X26X0X2976881659X20260602103312Y0Y0.session,PurePath,1780410589812185000,1780410589836345000,24160,24160,24160,0,5102,0,0,18918,0,24160,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,18338878Z1X26X0X2976881659X20260602103312Y0Y0.session,994e3a07201b3e03a89fa3362cc8f8e4,1780410589812,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-446sq),PROCESS_GROUP_INSTANCE-CED887F3C8978DA2,false,1780410589812185000,1780410589836345000,24160,24160,24160,0,5102,0,0,18918,0,0,0,0,1,0,19206,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IkI1MTA3RTQ3NTE1RUUxNzUwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzVIMDA0OTQ3NUUyMjMxMjVCNiIsInVzdWFyaW8iOiIwMTgwNDAwMDAwMDExNjk1ODAwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoiblZKTlk4bm01WkNkMWFsc3R0K2NaUT09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.131.30.52,false,2,PurePath,,
12506227Z1X80X0X137814879X20260602112900Y0Y0.session,PurePath,1780410587157198000,1780410587173276000,16078,16078,16078,0,6421,0,0,0,0,16078,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,12506227Z1X80X0X137814879X20260602112900Y0Y0.session,33bf745c10d833055a7ca1d6a44e3479,1780410587157,2,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-rvcbz),PROCESS_GROUP_INSTANCE-6253C8785CC754B9,false,1780410587157198000,1780410587173276000,16078,16078,16078,0,6421,0,0,0,0,0,0,0,1,0,9776,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IjFBNDAxOUVBNTdENDdBRDAwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzVIMDA0OTQ3NUUyMjZGQTIxQSIsInVzdWFyaW8iOiIwMDM0NTAwMDAwMDMyMjY1MjIwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5Ijoidkd1aHdUY0RqZ2REeWRabVBiRzlmdz09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.129.58.220,false,2,PurePath,,
65042886Z1X16X0X2909754378X20260602103528Y0Y0.session,PurePath,1780410586582172000,1780410586598053000,15881,15881,15881,0,5872,0,0,0,0,15881,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,65042886Z1X16X0X2909754378X20260602103528Y0Y0.session,9c83e057e27ea6881166fd8b346a9309,1780410586582,2,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-446sq),PROCESS_GROUP_INSTANCE-CED887F3C8978DA2,false,1780410586582172000,1780410586598053000,15881,15881,15881,0,5872,0,0,0,0,0,0,0,1,0,9931,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IjRCQUE0NkE3RkQ1QkUxOEIwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzRIMDA0OTQ3NUUxRTMzQjA4MyIsInVzdWFyaW8iOiIwMDI0MDAwMDAwMDAxODA3NjkwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoiRWVmc3ZkNng4MEtJbk1mb3lJaDlPQT09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.131.30.52,false,2,PurePath,,
14240497Z1X30X0X1003653306X20260602111838Y0Y0.session,PurePath,1780410576734200000,1780410576770948000,36748,36748,36748,0,6891,0,0,29634,0,36748,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,14240497Z1X30X0X1003653306X20260602111838Y0Y0.session,bbe73baaf80bd09ba1d459cb48e07eff,1780410576734,2,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-84qvs),PROCESS_GROUP_INSTANCE-89B8C79D19ABBA8B,false,1780410576734200000,1780410576770948000,36748,36748,36748,0,6891,0,0,29634,0,0,0,0,1,0,30057,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IjMzQjNFQUZEOTg5REU4MEIwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzRIMDA0OTQ3NUUxRDg3NzA5NSIsInVzdWFyaW8iOiIwMDc1NDAwMDAwMDAwMDYzNTEwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoiTFU1Q1ZaTmhZbzBCcUVpNG1QSWsrZz09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.129.39.39,false,2,PurePath,,
14207477Z1X87X0X73337516X20260602112230Y0Y0.session,PurePath,1780410559707204000,1780410559730354000,23150,23150,10730,0,8401,0,0,1926,0,10730,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,14207477Z1X87X0X73337516X20260602112230Y0Y0.session,2d2223e70e9a649e7e49f58a04bb4933,1780410559707,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-r5c52),PROCESS_GROUP_INSTANCE-715A9E4EF292F76E,false,1780410559707204000,1780410559730354000,23150,23150,10730,0,8401,0,0,1926,0,0,0,0,1,0,14814,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IjczNjVCNjc3NDAzNjk4NUIwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzVIMDA0OTQ3NUUyMEFFQTNFQSIsInVzdWFyaW8iOiIwMDA1MjAwMDAwMDAyNDg4NzgwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoiVENpb3hCOXh2L3hNelYwT3d3ck8ydz09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.131.30.52,false,2,PurePath,,
11696379Z1X30X0X2602077047X20260602104722Y0Y0.session,PurePath,1780410530342161000,1780410530357128000,14967,14967,14967,0,4834,0,0,9893,0,14967,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,11696379Z1X30X0X2602077047X20260602104722Y0Y0.session,62a697888c3ac944681de080c237aa9e,1780410530342,2,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-446sq),PROCESS_GROUP_INSTANCE-CED887F3C8978DA2,false,1780410530342161000,1780410530357128000,14967,14967,14967,0,4834,0,0,9893,0,0,0,0,1,0,10169,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IkZBQTYzNUE4MjhCODNCNTYwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzRIMDA0OTQ3NUUxQ0FFQjAzQiIsInVzdWFyaW8iOiIwMDU1MjAwMDAwMDEwMzA2NzEwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoiM0w5UXVRZlJnd29PSXRDa3JQRElydz09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.129.58.220,false,2,PurePath,,
16253343Z1X30X0X1003646878X20260602111838Y0Y0.session,PurePath,1780410522850224000,1780410522870916000,20692,20692,13602,0,8354,0,0,4838,0,13602,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,16253343Z1X30X0X1003646878X20260602111838Y0Y0.session,3256f75dbf45e98bc44416ab58e098d2,1780410522850,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-r5c52),PROCESS_GROUP_INSTANCE-715A9E4EF292F76E,false,1780410522850224000,1780410522870916000,20692,20692,13602,0,8354,0,0,4838,0,0,0,0,1,0,12437,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IjU2NzQ0MDcwQzE0NjY5QjYwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzNIMDA0OTQ3NUUxODI3Q0Q5MyIsInVzdWFyaW8iOiIwMjExOTAwMDAwMDQxNTQ0MjgwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoiSHJZSTdsTHdtM3c2OXVsYUw4WFNHdz09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.129.39.39,false,2,PurePath,,
11338468Z1X20X0X799211604X20260602111901Y0Y0.session,PurePath,1780410480884229000,1780410480900414000,16185,16185,8545,0,6247,0,0,0,0,8545,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,11338468Z1X20X0X799211604X20260602111901Y0Y0.session,5f9a4d2e05bec6fffe7cb96f5a51cc29,1780410480884,2,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-br7rr),PROCESS_GROUP_INSTANCE-CD32EF9D406465C6,false,1780410480884229000,1780410480900414000,16185,16185,8545,0,6247,0,0,0,0,0,0,0,1,0,9995,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IjU2NzQ0MDcwQzE0NjY5QjYwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzNIMDA0OTQ3NUUxODI3Q0Q5MyIsInVzdWFyaW8iOiIwMjExOTAwMDAwMDQxNTQ0MjgwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoidVBYRE1EbXBwdXd4Z0FUcVRaOVZpZz09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.129.39.39,false,2,PurePath,,
34104026Z1X22X0X1676607938X20260602110317Y0Y0.session,PurePath,1780410472939231000,1780410472963256000,24025,24025,24025,0,6689,0,0,16836,0,24025,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,34104026Z1X22X0X1676607938X20260602110317Y0Y0.session,2f674a92c371d3e34d523fd14e0c1cfb,1780410472939,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-rv2vv),PROCESS_GROUP_INSTANCE-62921E4DDD259931,false,1780410472939231000,1780410472963256000,24025,24025,24025,0,6689,0,0,16836,0,0,0,0,1,0,17196,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IjQ3NTQ5MEQzRDA1QjQ0RTEwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzJIMDA0OTQ3NUUxMEJCQzI0OCIsInVzdWFyaW8iOiIwMDA0NzAwMDAwMDAyODE4MzIwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoiM0huLzNrT29Nc1hRd0hFbk9iblo4QT09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.131.30.52,false,2,PurePath,,
48862039Z1X1X0X3539123296X20260602103153Y0Y0.session,PurePath,1780410471114206000,1780410471127438000,13232,13232,13232,0,6100,0,0,6592,0,13232,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,validaTipoConta@_@/validaTipoConta,48862039Z1X1X0X3539123296X20260602103153Y0Y0.session,c389e579206be8543b981b68d6c8058f,1780410471114,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-mpmrk),PROCESS_GROUP_INSTANCE-0CEAA227E4D70B95,false,1780410471114206000,1780410471127438000,13232,13232,13232,0,6100,0,0,6592,0,0,0,0,1,0,6915,GET,200,true,brai-srv-empf-restbloq.corp.svc.cluster.local,/validaTipoConta,3368384c-04aa-4191-89f3-5eba5a25985e,Bradesco - Mobile PF - bcpf-bff-home,String,eyJmcndrIjp7InRpY2tldCI6IjcxMjczMEZEQjkwN0FFNzQwMDAzIiwiaWRzZXNzYW8iOiIwMDI2MTVDODdGMEYxNzJIMDA0OTQ3NUUxMDZDQzg0RiIsInVzdWFyaW8iOiIwMTI0MDAwMDAwMDE1Njg1NTgwMSIsInRpcG9Vc3VhcmlvIjoiQ09OVEEifSwic2VjdXJpdHkiOnsia2V5IjoiM3FleWUyK0FOK1NIV3NnWlhOb2JqUT09In19,false,43f277a2-25c0-40d0-8b45-e1729119435d,Site BF - Client IP,String,10.129.39.39,false,2,PurePath,,
